,ID,ID collecteur,Date de début,Date de fin,Q1,Q3,Q4,Q4-text,Q5,Q5-text,Q6,Q6-text,Q7,Q8,Q9,Q10,Q11,Q12
93,6183956991,156443487,2017-05-05 17:18:13,2017-05-05 17:23:01,Non,,Autre (veuillez préciser),Non je ne suis pas français,Autre (veuillez préciser),Je ne suis pas français,Blanc,Je ne suis pas français,,,,,,
94,6183953886,156443487,2017-05-05 17:19:52,2017-05-05 17:25:15,Oui,Lassalle,Oui,,Cela dépend du candidat,,Blanc,Cela dépend si sa change ou pas ,Le Pen,PSk elle la plus aimer des français ,Oui,PSk il sont pour le pen ,Non,PSk sa va être encore pire 
95,6183931475,156443487,2017-05-05 17:06:23,2017-05-05 17:12:39,Oui,Macron,Oui,,Très sûr,,Emmanuel Macron,,Macron,C est lui le meilleur ,Oui, C est l homme de la france,Oui,Oui c est mon bon choix
96,6183930534,156443487,2017-05-05 17:06:41,2017-05-05 17:08:34,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,,Oui,,Oui,
97,6183920623,156443487,2017-05-05 17:02:14,2017-05-05 17:03:14,,,,,,,Emmanuel Macron,,,,,,,
98,6183916001,156443487,2017-05-05 16:57:48,2017-05-05 17:01:35,Oui,Melenchon,Oui,,Je ne sais pas,,Emmanuel Macron,,Macron,,Oui,,Non,
99,6183913555,156443487,2017-05-05 16:57:42,2017-05-05 16:59:27,Oui,Macron,Oui,,Très sûr,,Emmanuel Macron,,Macron,,Oui,,Oui,
100,6183911307,156443487,2017-05-05 16:55:59,2017-05-05 17:01:13,Oui,Hamon,Oui,,Très sûr,,Emmanuel Macron,,Macron,Macron je ne v pas voter contre lepen mais pour macron,Oui,Ils ont regarder le debat et on compris que lepen est incompetante,Oui,Pour la liberte la democratie
101,6183906998,156443487,2017-05-05 16:52:15,2017-05-05 16:58:36,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,car elle a tous pour le gagner,Oui,je sais pas,Oui,
102,6183904770,156443487,2017-05-05 16:53:13,2017-05-05 16:55:07,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,,Oui,,Oui,
103,6183899679,156443487,2017-05-05 16:49:47,2017-05-05 16:51:20,,Melenchon,Oui,,Très sûr,,Emmanuel Macron,,,,,,,
104,6183898050,156443487,2017-05-05 16:48:52,2017-05-05 16:50:27,Non,Le Pen,Non,,Très sûr,,Marine Le Pen,,,,,,,
105,6183895885,156443487,2017-05-05 16:48:14,2017-05-05 16:50:22,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Macron,Car les gens croit a ses mensonge et que marine lepen est raciste,Oui,,Oui,
106,6183883917,156443487,2017-05-05 16:41:30,2017-05-05 16:43:13,Oui,Macron,Oui,,Très sûr,,Emmanuel Macron,,Macron,,Oui,,Oui,
107,6183881653,156443487,2017-05-05 16:39:22,2017-05-05 16:43:38,Oui,Melenchon,Oui,,Pas sûr,,Blanc,NOn,Macron,,Non,,Non,"Parce que son programme n'est pas très clair, ça craint."
108,6183876289,156443487,2017-05-05 16:37:27,2017-05-05 16:41:31,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Elle a des idées très intéressantes en se qui concerne les citoyens français pas Comme macron qui veux que la France coule ,Oui,Il pense la même chose que moi sur sont projet qui est très intéressant nous concernant ,Oui,Sont projet et le discourt quelle a u est honnêtement plus intéressant pour la France elle veux une France solide
109,6183873250,156443487,2017-05-05 16:35:56,2017-05-05 16:37:49,Oui,Poutou,Oui,,Très sûr,,Marine Le Pen,,Macron,Caca,Oui,Car je suis bg,Oui,Psq Marine c lesang 
110,6183865825,156443487,2017-05-05 16:31:05,2017-05-05 16:32:36,Non,,Non,,Autre (veuillez préciser),Je ne vote pas ,Blanc,Aucuns,,,,,,
111,6183865815,156443487,2017-05-05 16:31:11,2017-05-05 16:35:38,Oui,Melenchon,Oui,,Très sûr,,Emmanuel Macron,,Le Pen,Le pen elle a une manière d'être sur de elle ce qui peux rendre certaines personnes sur d'eux grace à elle.  Pour moi son programme et de dénigrer l'adversaire au lieu de parler de son programme,Non,Ceřtains pense qu'il faut que le gouvernement change totalement ,Oui,Il a l'aire d'être réalisé il ne dis pas que tout est acquis mais qu'il essayera
112,6183864334,156443487,2017-05-05 16:30:33,2017-05-05 16:31:48,Non,Le Pen,Non,,Très sûr,,Marine Le Pen,,,,,,,
113,6183859243,156443487,2017-05-05 16:27:35,2017-05-05 16:32:06,Oui,Melenchon,Oui,,Très sûr,,Blanc,déçue,Macron,"En regardant les débats, les sondages, les avis des citoyens Mr /Macron à plus de chance de devenir président que Mme Le Pen",Oui,"Ont discutent des débats, et est d'accord",Oui,Meilleur programme
114,6183859212,156443487,2017-05-05 16:28:24,2017-05-05 16:28:57,Non,Le Pen,Oui,,Très sûr,,Marine Le Pen,,,,,,,
115,6183856839,156443487,2017-05-05 16:26:24,2017-05-05 16:29:41,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Le pen,Oui,Par ce que,Oui,Elle fera le ménage 
116,6183855441,156443487,2017-05-05 16:26:02,2017-05-05 16:28:46,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Macron,Car le peuple français as trop peur ,Non,On as tois des opinions différents ,Oui,
117,6183847018,156443487,2017-05-05 16:21:11,2017-05-05 16:23:54,Oui,Macron,Oui,,Très sûr,,Emmanuel Macron,,Macron,Je vote pour monsieur macron car il a des idée positif pour l'avenir de mon pays,Oui,Il sont la même penser que moi,Oui,Car c le président idéale pour la France 
118,6183846609,156443487,2017-05-05 16:21:06,2017-05-05 16:24:02,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,"Car je pense qu'elle un projet assez fort pour remettre en ordre la france. De plus, elle est déjà députée européenne donc elle a un peu d'expérience dans la politique. Au niveau de la sécurité ce sera mieux sans les fiches s.",Oui,,Oui,
119,6183844871,156443487,2017-05-05 16:20:14,2017-05-05 16:28:35,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Marine à toujours voulus s'occuper des français et de son pays en premier lieu avant d'aller mettre son nez ailleurs que se soie les problème d'ordre financier logement scolaire ext mais pour nous français prioritairement. Car c'est notre droit nous disposons mais nous on obtient rien on Gard pour les autre pendant que certain français dorme dehors dans le froid à manger un bout de pain revenir en Franc et une excellente idée profiter de nos produit loco à moi notre coût favoriser nos produit nos terre a la place d'acheter à des grossiste étranger ,Non,Mes amie me comprenne d'autre non chaqu'un. C'est opignon politique,Oui,Car elle au moin fera bouger les chose mais pour nous aussi 
120,6183837730,156443487,2017-05-05 16:16:38,2017-05-05 16:18:17,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Macron,Il est largement devant dans les sondages.,Oui,Ils pensent pareil ..,Oui,
121,6183836612,156443487,2017-05-05 16:13:54,2017-05-05 16:18:20,Oui,Macron,Oui,,Très sûr,,Emmanuel Macron,,Macron,Ya pas le choix,Oui,,,
122,6183827012,156443487,2017-05-05 16:09:05,2017-05-05 16:13:44,Oui,Macron,Oui,,Très sûr,,Blanc,Super présidant ,Macron,Super présidant ,Oui,Super présidant ,Oui,Super présidant 
123,6183822499,156443487,2017-05-05 16:08:05,2017-05-05 16:09:09,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,,,,,,
124,6183819205,156443487,2017-05-05 16:06:12,2017-05-05 16:12:40,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Je pense que le pen va passer car elle veut aider la France a s'en sortir elle veut aider les français et non les etranger elle mérite d'etre presidente,Non,Il ne pense pas la même chose il vont voter macron sachant que nous avons manifester contre la loi el komhri et que macron est pour la loi travail,Oui,elle est le trés bon choix elle veut creer des emploi faire partir tous ceux qui profite du systéme elle veut fair une vrai FRANCE
125,6183792727,156443487,2017-05-05 15:52:37,2017-05-05 15:57:00,Oui,Hamon,Oui,,Très sûr,,Emmanuel Macron,,Macron,Au vue de ce que représente la famille Le Pen dans la tête des citoyens. Les citoyens ont peur de notre avenir à ces côtés. ,Oui,On a tellement entendu étant jeune parler de Jean Marie Le Pen que maintenant Marine Le Pen est terrifiante pour nous. ,Non,Non je ne pense pas mais je ne vote pas pour E. Macron en soi je vote contre M. Le Pen. 
126,6183792506,156443487,2017-05-05 15:52:16,2017-05-05 15:54:07,Oui,Macron,Oui,,Pas sûr,,Emmanuel Macron,,,,,,,
127,6183791602,156443487,2017-05-05 15:52:07,2017-05-05 15:54:11,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Je pense que marine devrait gagner mais que tout est deja joue d'avance et que ca sera macron qui passera.   Je suis marine je vote marine !! Nouvelle france ,Oui,...,Oui,...
128,6183774395,156443487,2017-05-05 15:42:35,2017-05-05 15:44:56,Oui,Melenchon,Oui,,Autre (veuillez préciser),Aucun candidats me convient ,Blanc,Aucun des deux,,,,,,
129,6183772953,156443487,2017-05-05 15:41:38,2017-05-05 15:44:06,Non,Le Pen,Non,,Pas sûr,,Blanc,Je nest pas dopinion politique,,,,,,
130,6183769986,156443487,2017-05-05 15:40:37,2017-05-05 15:44:18,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Je l espère car elle a de meilleur idée et veux un avenir pour la France et aider surtout les francais,Oui,Ils pensent pareil que moi pour ces idée qui sont parfaitement et sécurisant et pour la France avec un bel avenir,Oui,Pour ces idée elle a toujours proposer les même chose et c est sa qu il faut à la FRANCE
131,6183769649,156443487,2017-05-05 15:39:40,2017-05-05 15:45:20,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,,Oui,Car on veut pas de macron ses le bébé de Hollande il vas  détruire la France ,Oui,Car elle vas refermer les frontière et aidé les entreprises françaises
132,6183763653,156443487,2017-05-05 15:36:51,2017-05-05 15:40:53,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Parce que sont programme défend absolument les valeurs de la France. Puis avec les grosses entreprises qui sont en faillites en France. C'est un devoir de voter Marine Le Pen . Les frontières en places et les français auront déjà un peu plus de pouvoir d'achat et de travaille.,Oui,,Oui,
133,6183758993,156443487,2017-05-05 15:34:14,2017-05-05 15:36:01,Oui,Macron,Oui,,Je ne sais pas,,Emmanuel Macron,,Le Pen,,Non,,Oui,
134,6183752744,156443487,2017-05-05 15:31:37,2017-05-05 15:32:57,Oui,Hamon,Oui,,Très sûr,,Emmanuel Macron,,Macron,,Non,,Non,
135,6183751114,156443487,2017-05-05 15:30:09,2017-05-05 15:33:36,Oui,Melenchon,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Car c'est la seule qui peut sauver la France,Oui,On était mieux en francs,Oui,Elle veut aider tout le mondes et non les Richard
136,6183750869,156443487,2017-05-05 15:29:59,2017-05-05 15:31:18,Non,Macron,Je ne sais pas,,Très sûr,,Emmanuel Macron,,,,,,,
137,6183749732,156443487,2017-05-05 15:29:37,2017-05-05 15:31:31,Oui,Melenchon,Oui,,Je ne sais pas,,,,,,,,,
138,6183746812,156443487,2017-05-05 15:28:28,2017-05-05 15:29:53,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,,Non,,Oui,
139,6183736793,156443487,2017-05-05 15:22:59,2017-05-05 15:25:58,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Elle veut rendre a la France sa splendeur et s'occuper des petit village et pas que de la ville (Paris).,Oui,Il pense comme moi.,Oui,Elle pense au petit gens et pas que une riche.
140,6183724820,156443487,2017-05-05 15:17:10,2017-05-05 15:20:39,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Parce que elle le mérite es qu'elle veut que sa bouge pour notre france ,Oui,Oui il pense la même chose que moi ,Oui,Parce qu'elle dit tout haut ce que tout le monde pense tout bas 
141,6183723625,156443487,2017-05-05 15:16:19,2017-05-05 15:18:06,Non,Melenchon,Non,,Je ne sais pas,,Blanc,Je ne suis ni pour macron ni pour le pen,,,,,,
142,6183715033,156443487,2017-05-05 15:11:49,2017-05-05 15:13:04,Oui,Melenchon,Non,,Très sûr,,,,,,,,,
143,6183712808,156443487,2017-05-05 15:10:40,2017-05-05 15:11:57,Non,Macron,Non,,Autre (veuillez préciser),J'ai pas la nationalité française ,Emmanuel Macron,,,,,,,
144,6183712370,156443487,2017-05-05 15:10:37,2017-05-05 15:14:23,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Mr macron et pour les riches ,Oui,Ils pense la même chose que moi,Oui,Par rapport à son programme 
145,6183711826,156443487,2017-05-05 15:09:31,2017-05-05 15:13:57,Oui,Macron,Oui,,Autre (veuillez préciser),Vivre macron abat lepen,Blanc,Macron a la tête sur les épaules ,Macron,,Oui,,Oui,
146,6183707992,156443487,2017-05-05 15:08:33,2017-05-05 15:12:16,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Macron,Parce que les vote son truqué,Oui,On n'a vue énormément de chose pour aider macron,Oui,Marine le Pen et un bon choix pour l'avenir du peuple français.
147,6183704240,156443487,2017-05-05 15:06:49,2017-05-05 15:07:53,Oui,Macron,Autre (veuillez préciser),Oui par procuration,Très sûr,,Emmanuel Macron,,,,,,,
148,6183701186,156443487,2017-05-05 15:04:36,2017-05-05 15:06:36,Non,,Non,,Autre (veuillez préciser),Nan,Blanc,Nan ,,,,,,
149,6183700753,156443487,2017-05-05 15:04:35,2017-05-05 15:09:48,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,C'est Marine qui va gagner car son programme et super et la France sera meilleur avec marine,Oui,On n'en parle souvent et tout le monde le dit que Marine à la tête sur les épaules pas comme Macron ,Oui,Car avec Marine la France sera sauvé
